tweet, polarity, negative, neutral, positive, compound
india gold demand q post note ban gst monsoon key wgc coming demonetisation shock,negative,0.435,0.565,0.0,-0.7717
demonetisation derailed lot hue amp cry began cashless transaction noise cashless,negative,0.379,0.621,0.0,-0.6705
novice india gold demand q post note ban gst monsoon key wgc coming demonetisation,negative,0.317,0.683,0.0,-0.6249
dead people buying gold dr manmohan singh alumnus london school economics demonetisation mm predicted die,negative,0.387,0.613,0.0,-0.8481
nepal ban india rupee demonetisation modi,negative,0.419,0.581,0.0,-0.5574
argue taxing rich farmer good economics like demonetisation also good politics via,positive,0.113,0.329,0.559,0.8591
please give demonetisation aka notebandi reason paying got nice voice buy sex genuine,positive,0.0,0.683,0.317,0.6249
wrong king declared long back naxalism dead demonetisation spreading anti national rumor bmkj,negative,0.492,0.508,0.0,-0.8658
number mf folio account hnis institutional investor increased year year amp respectively,positive,0.0,0.608,0.392,0.5859
several successful attempt robbing bank kashmir since demonetisation better army take bank security,positive,0.0,0.524,0.476,0.8442
act bank amp atm prove thing sure piglet terrorist r money due demonetisation r verge decline,negative,0.247,0.632,0.121,-0.5267
demonetisation indian bought gold old currency wgc say rbi monetisation helped rise gold demand indian love gold,positive,0.072,0.725,0.203,0.5719
one thing demonetisation done create permanent trail dishonesty like merabaapchorhai imprint,positive,0.0,0.662,0.338,0.5574
demonetisation turned positive housing fin kapil wadhawan dhfl_india,positive,0.0,0.66,0.34,0.5574
demonetisation turned positive housing fin kapil wadhawan dhfl_india,positive,0.0,0.66,0.34,0.5574
demonetisation success story,positive,0.0,0.351,0.649,0.5719
demonetisation turned positive housing fin kapil wadhawan,positive,0.0,0.625,0.375,0.5574
reported et post demonetisation growth mf asset folio herald changing mindset course tina factor,positive,0.0,0.702,0.298,0.6249
sir post demonetisation advice bought risk reward favour,positive,0.153,0.365,0.482,0.6705
govt cud compensate loss toll fee demonetisation bt waive loan farmer let mallya fly amp let farmer die,negative,0.279,0.721,0.0,-0.7351
blackmoneycrackdown clean india drive extends clean black mon blackmoney currency demonetisation newnotes,positive,0.0,0.566,0.434,0.7096
headmaster son new bank robber kashmir demonetisation robbery,negative,0.34,0.66,0.0,-0.5574
thanks learn something also info one strongly support modi till issue demonetisation,positive,0.0,0.539,0.461,0.7717
demonetisation end corruption lost control use money aadhaar end corruption lost right body newindia mybodymyrights,negative,0.261,0.739,0.0,-0.5574
government crackdown tax evaders post demonetisation last november yielded positive,positive,0.0,0.714,0.286,0.5574
gurumurthy explains brilliantly demonetisation defattened indian economy need done,positive,0.0,0.667,0.333,0.6124
st dec minister modi cabinet trying convince people success demonetisation people lost job amp business b,positive,0.115,0.6,0.285,0.5267
similarly modi ji l b known exotic sultan mohammad bin tughlaq demonetisation people died amp black money still untraceable,negative,0.184,0.816,0.0,-0.5574
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
since demonetisation stopped reading toi understand bit undertone msg try convey cartoon bad taste,negative,0.31,0.69,0.0,-0.6597
sir please watch jammu based doctor dr varinder sharma beautiful song demonetisation,positive,0.0,0.617,0.383,0.7351
sir please watch jammu based doctor dr varinder sharma beautiful song demonetisation,positive,0.0,0.617,0.383,0.7351
know demonetisation literally murdered small business india prof vaidyanathan written book informal economy read,negative,0.253,0.747,0.0,-0.6597
sir please watch jammu based doctor dr varinder sharma beautiful song demonetisation,positive,0.0,0.617,0.383,0.7351
agony india currency demonetisation woe hold people hostage,negative,0.483,0.517,0.0,-0.6808
good evening sir month since demonetisation know gained helpful,positive,0.0,0.42,0.58,0.8074
dangal would easily cross crore easily amp maybe even touch crore demonetisation remonetisation,positive,0.0,0.696,0.304,0.5859
fascist feku india prime madman pm created needle unforeseen problem crore people trillion situation demonetisation,negative,0.31,0.591,0.099,-0.6486
demonetisation success reflects sukma attack amp kupawara true bro,positive,0.199,0.385,0.417,0.5267
black money went modi note ban blackmoney shellcompanies demonetisation,negative,0.31,0.69,0.0,-0.5574
least demonetisation could demote terrorist dacoit,negative,0.485,0.515,0.0,-0.6908
bank robbery kashmere tell one thing post demonetisation cash flow terrorist terrorogw affected,negative,0.364,0.636,0.0,-0.743
demonetisation destroyed stock fake note,negative,0.677,0.323,0.0,-0.743
implementation demonetisation led increase lakh people filing taxreturns gt gt,positive,0.0,0.519,0.481,0.6705
demonetisation india courage implement bold step sent right message globally say arun jaitley,positive,0.0,0.655,0.345,0.7003
demonetisation drama save friend banker pressure,positive,0.19,0.259,0.552,0.6369
talk demonetisation dear excellent move poor execution support idea though move necessary,positive,0.154,0.398,0.448,0.7096
modi boast inch action middle class demonetisation unleashing tax terrorism,negative,0.338,0.662,0.0,-0.6808
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
surgical strike demonetisation gas cylinder jan dhan modi defeated opposition far hard job,negative,0.375,0.625,0.0,-0.6124
terrorist receiving counterfeit currency demonetisation,negative,0.54,0.46,0.0,-0.6908
demonetisation curb terrorism gone wind bank looted j amp k within hour today anything say,negative,0.277,0.723,0.0,-0.6808
govt learns nothing let u presume demonetisation crippled terror finding robbery happening since dec,negative,0.221,0.779,0.0,-0.5267
say terrorism end demonetisation b,negative,0.605,0.395,0.0,-0.6808
demonetisation impact terrorism dacoit looting people money whose azadi fight,negative,0.474,0.526,0.0,-0.802
effect demonetisation leading series bank robbery islamic terrorist kashmir valley,negative,0.343,0.657,0.0,-0.6908
know kattappa killed bahubali modiji demonetisation,negative,0.474,0.526,0.0,-0.6705
note ban dodgy money converted gold stored shell company india note gold demonetisation,negative,0.333,0.667,0.0,-0.6705
since demonetisation sbi atm po code running dry branch code,negative,0.286,0.714,0.0,-0.5574
yes demonetization killed old corruptors new note high mighty getting caught demonetisation killing corruption many q,negative,0.377,0.508,0.114,-0.802
black money converted gold stored shell company note ban sleuth demonetisation,negative,0.265,0.735,0.0,-0.5574
demonetisation black money converted gold stored shell company note ban sleuth econom,negative,0.247,0.753,0.0,-0.5574
agricultural growth india taken hit post demonetisation bengal agricultural growth rate higher national average mb,positive,0.0,0.714,0.286,0.6369
people said demonetisation hit terrorist people seem desperate cash resorted looting bank kashmir,negative,0.389,0.611,0.0,-0.7906
please aware ground reality terrorism remaining demonetisation stone pelting naxal menace,negative,0.431,0.442,0.127,-0.7579
innovative way mehbooba mufti countering demonetisation effect j amp k another bank looted dear enough enough,positive,0.0,0.686,0.314,0.6705
looting bank terrorist j amp k suggest demonetisation effect,negative,0.439,0.561,0.0,-0.6908
silent kejri fact made fun modi demonetisation stage kavi sammelans r,positive,0.0,0.732,0.268,0.5106
frustrating c bank j amp k looted daily basis finance terrorist amp stone pelter demonetisation succeeded drying finance,negative,0.339,0.536,0.125,-0.7003
sure high huge u understand see many india willing,positive,0.0,0.566,0.434,0.5574
laundry time make criminal demonetisation,negative,0.459,0.541,0.0,-0.5267
bjp investment centre great progress demonetisation,positive,0.0,0.367,0.633,0.7845
question demonetisation benefit plz wake take note shut mouth,positive,0.0,0.619,0.381,0.5106
india working poor amp poverty alleviation hit girish via,negative,0.478,0.522,0.0,-0.7506
low grade cheap tyre importing china seen silent death demonetisation gst kill,negative,0.543,0.457,0.0,-0.8934
hopefully execute idea better demonetisation ofcourse demonetisation political success denying,positive,0.136,0.339,0.525,0.7845
india working poor amp poverty alleviation hit girish via,negative,0.478,0.522,0.0,-0.7506
india working poor amp poverty alleviation hit girish via,negative,0.478,0.522,0.0,-0.7506
economist history st book kind site cannot party china demonetise like modi,positive,0.132,0.525,0.344,0.5635
demonetisation proved disaster indian economy,negative,0.506,0.494,0.0,-0.6249
jaiho r officer failed demonetisation aasteenkesaanp,negative,0.452,0.548,0.0,-0.5106
baba ramdev ambani adani fun demonetisation acchedin paytm begin,positive,0.0,0.708,0.292,0.5106
question demonetisation benefit plz wake take note shut mouth,positive,0.0,0.619,0.381,0.5106
demonetisation failed make negative impact thane realty rental market time india realestate,negative,0.412,0.588,0.0,-0.7906
demonetisation killed kickback,negative,0.692,0.308,0.0,-0.6705
requesting centre take effective measure create job lift demonetisation constraint encourage free flow money,positive,0.0,0.459,0.541,0.8957
demonetisation one cr new tax payer added demonetization amp followup action great going rot bigger amp wd need persistent action,positive,0.0,0.698,0.302,0.8316
trust mallus bong telegraph demonetisation stick draconian establishment unique way kudos,positive,0.0,0.577,0.423,0.765
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
impossible demonetisation killed corruption crore must old note,negative,0.391,0.609,0.0,-0.6705
u tweeted would save k tx demonetisation,positive,0.0,0.345,0.655,0.6908
whr r sick ulars khangressi presstitutes n traitor wh wr र द ल aftr demonetisation,negative,0.268,0.732,0.0,-0.5106
manufacturing sector witness growth th straight month pmi demonetisation,positive,0.0,0.609,0.391,0.5423
manufacturing sector witness growth th straight month pmi demonetisation,positive,0.0,0.609,0.391,0.5423
manufacturing sector witness growth th straight month pmi demonetisation,positive,0.0,0.609,0.391,0.5423
manufacturing sector witness growth th straight month pmi demonetisation,positive,0.0,0.609,0.391,0.5423
keep recalling mr arun shourie interview post demonetisation demolishing govt argument eradicating terrorism,negative,0.392,0.608,0.0,-0.7964
blaming demonetisation robbing poor amp poor dieing bank line etc cr day,negative,0.511,0.489,0.0,-0.8555
guess beloved prime minister got idea demonetisation baba ramdev,positive,0.0,0.708,0.292,0.5106
demonetisation limited casual job requesting govt liberate economy expand money flow print safety measure encourage business,positive,0.082,0.476,0.442,0.8074
ur brother hafiz sayeed pain demonetisation amp u also lost ur job gate keeper janpath long term effect,negative,0.272,0.728,0.0,-0.6808
hatred pm modi even comprehend demonetisation affect blinded hate,negative,0.53,0.47,0.0,-0.836
india india subprime crisis analysis show demonetisation loan waiver killed india microfinance sector,negative,0.439,0.561,0.0,-0.8625
government data show lakh job least lost due demonetisation promise crore new job per year jumla,positive,0.0,0.767,0.233,0.5043
hopefully tax filing non zero tax amount total collection increase gt economic loss due demonetisation,positive,0.113,0.539,0.348,0.5859
modi govt failed initiative right swatch bharat make india surgical strike demonetisation etc etc claiming tall,negative,0.255,0.745,0.0,-0.5859
please read kenneth rogoff curse cash point precisely demonetisation help curb terrorism,negative,0.384,0.379,0.237,-0.6249
must applaud amp contra view amp predicting tht demonetisation lead expansion amp wise,positive,0.0,0.643,0.357,0.7269
goi wanted check money laundering terrorist others demonetisation dumbo,negative,0.37,0.63,0.0,-0.6908
demonetisation failure right,negative,0.623,0.377,0.0,-0.5106
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
love start within say amma ddvsrh,positive,0.0,0.543,0.457,0.6369
lakh job lost due demonetisation disaster,negative,0.615,0.385,0.0,-0.7506
thanks work recently completed real team paymentswitch great result demonetisation,positive,0.0,0.533,0.467,0.7906
economist foreign affair expert still think effect demonetisation terrorism,negative,0.365,0.635,0.0,-0.6808
demonetisation end terrorism terrorist stole lakh r jnk,negative,0.65,0.35,0.0,-0.8834
still forget watching u buck ur pocket amp buying samosa demonetisation public broadcast good haha,positive,0.101,0.585,0.314,0.6124
according feku n co demonetisation break terrorism n black money holder back bone bt ground reality vary rm politicsovermartyrs,negative,0.223,0.777,0.0,-0.6808
ur win du strategic demonetisation u want win u sud take stern action jk ñ pak,positive,0.0,0.455,0.545,0.8689
trust demonetisation unearth crore pls let country know people start getting benefit,positive,0.0,0.542,0.458,0.765
page resume economist ex pm predicting doomsday india economy post demonetisation pm,negative,0.257,0.743,0.0,-0.5859
even though look disorderly actually patient law abiding best example demonetisation period,positive,0.0,0.724,0.276,0.6369
jaitley announced demonetisation huge success dip production agricultural sowing soared rejoice achchedin,positive,0.0,0.503,0.497,0.836
somebody answer plz bjp done apart demonetisation ur howling spokespeople prove ur agenda anti democracy failure,negative,0.281,0.653,0.065,-0.6486
shame impose demonetisation overnight freak bother help student,negative,0.65,0.184,0.166,-0.7845
demonetisation novel idea big failure aadhar systematic way killing black money dr manmohan singh,negative,0.367,0.524,0.11,-0.7506
yes due honesty vishwas supporter corruption movement k amp team like opposed note demonetisation public think,positive,0.0,0.512,0.488,0.8591
getreal tata housing even made demonetisation force majeure pay penalty n rera bangalore,negative,0.306,0.694,0.0,-0.5267
industry killed stupid demonetisation highest independent india nothing,negative,0.568,0.432,0.0,-0.836
india working poor amp poverty alleviation hit alisadaqat via,negative,0.478,0.522,0.0,-0.7506
agrarian crisis india proved demonetisation critic wrong jaitley world living,negative,0.571,0.429,0.0,-0.8519
dont u think jaitlygovt shd hv focussd defenceconsolidation dwindlinghindu protection anilbokil amp demonetisation amp bad bankingrules,negative,0.2,0.8,0.0,-0.5423
till today rbinot made clear much old currency collected demonetisation amp much black money deposited pol party bfor nov,positive,0.0,0.762,0.238,0.6486
terror finance black money already weeded demonetisation,negative,0.362,0.638,0.0,-0.5267
demonetisation finished terrorist kashmir amp maoist chhatisgarh believed see got fillip,negative,0.32,0.68,0.0,-0.6908
goal met failed met pmoindia demonetisation,negative,0.398,0.602,0.0,-0.5106
medium term benefit demonetisation help expand banking sector liquidity,positive,0.0,0.429,0.571,0.7906
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
never war black money first place demonetisation cheap gimmick paid well,positive,0.0,0.632,0.368,0.6423
intelligence failure demonetisation failure power failure black money failure essential commody failure come modiweakestpmever,negative,0.598,0.29,0.112,-0.9246
demonetisation taken away black money terrorist kashmir continuo looting bank kashmir,negative,0.32,0.68,0.0,-0.6908
demonetisation block funding terrorist huh indus water enrgize em mutilate martyr mfn pak tick cowardness,negative,0.369,0.631,0.0,-0.8225
bjp amp learn tactic getting away murder isi link drug smuggling demonetisation amp cash sack rape,negative,0.49,0.51,0.0,-0.926
likely namo confident mediamanagement courtesy moneymanagement demonetisation mukeshnambani,positive,0.0,0.513,0.487,0.6908
india working poor amp poverty alleviation hit khushsundar via,negative,0.478,0.522,0.0,-0.7506
govt data indicates demonetisation devoured lac job modi promised create crore job every year jumla_e_modi,positive,0.0,0.739,0.261,0.5574
mintopinion two subprime shock betray india micro lender demonetisation first,negative,0.459,0.541,0.0,-0.7783
yr black money fail demonetisation fail cr job fail economy fail npa fail internal security fail j amp k fail modiweakestpmever,negative,0.646,0.29,0.063,-0.9723
government data show lakh job least lost due demonetisation promise crore new job per year jumla,positive,0.0,0.767,0.233,0.5043
fburn two subprime shock betray india micro lender demonetisation first shock,negative,0.54,0.46,0.0,-0.8555
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
india working poor amp poverty alleviation hit tharoorian_inc via,negative,0.478,0.522,0.0,-0.7506
india subprime crisis analysis show demonetisation loan waiver killed india microfinance sector,negative,0.462,0.538,0.0,-0.8625
india working poor amp poverty alleviation hit alamkhan via,negative,0.478,0.522,0.0,-0.7506
india working poor amp poverty alleviation hit alamkhan via,negative,0.478,0.522,0.0,-0.7506
india working poor amp poverty alleviation hit alamkhan via,negative,0.478,0.522,0.0,-0.7506
yr black money fail demonetisation fail cr job fail economy fail npa fail internal security fail j amp k fail modiweakestpmever,negative,0.646,0.29,0.063,-0.9723
forget potent reform oriented action taken includes demonetisation whilst surgicalstrikes destroyed paki b patient,negative,0.317,0.683,0.0,-0.6249
agrarian crisis india proved demonetisation critic wrong jaitley,negative,0.65,0.35,0.0,-0.8519
demonetisation actually made u weak amp naxals terrorist stronger govt scared crisis war broke retaliationindiahitsback,negative,0.689,0.227,0.084,-0.9623
demonetisation effect start show strong rupee smes forgetting countless registered chit fund corp bank etc,positive,0.0,0.809,0.191,0.5106
india working poor amp poverty alleviation hit nksahu via,negative,0.478,0.522,0.0,-0.7506
agrarian crisis india proved demonetisation critic wrong jaitley,negative,0.65,0.35,0.0,-0.8519
india working poor amp poverty alleviation hit pumpinsui via,negative,0.478,0.522,0.0,-0.7506
like demonetisation good rural people health walked instead taking bike minister said,positive,0.0,0.649,0.351,0.6597
india working poor amp poverty alleviation hit incindia via,negative,0.478,0.522,0.0,-0.7506
sir u shud knw dat ur wife liar forget arguing u private demonetisation critising public twitter,negative,0.427,0.573,0.0,-0.802
sbm namami gange smart cit demonetisation gimmick failed amp nw new drama newindia amp cowindia shame modiweakestpmever,negative,0.277,0.606,0.117,-0.5719
demonetisation pappa said kashmiri cash go bank month ban cash lah kashmir,negative,0.247,0.753,0.0,-0.5574
demonetisation affected common man continued naxal issue terrorism proved wrong statement dm poorikkar joke,negative,0.433,0.465,0.102,-0.7964
demonetisation done turn malnourished abhishek mishra super malnourished kid kuposhitbalakmishra,positive,0.0,0.698,0.302,0.5994
lost money due demonetisation terrorist robbing bank amp cash van finance terror attack amp stone pelting,negative,0.529,0.471,0.0,-0.926
govt taking appropriate step secure bank robbed terrorist j amp k advantage demonetisation lost,negative,0.361,0.412,0.227,-0.5574
impact demonetisation accumulated hard cash terror group j amp k wasted n need fund,negative,0.5,0.5,0.0,-0.7906
india working poor amp poverty alleviation hit khushsundar via,negative,0.478,0.522,0.0,-0.7506
india working poor amp poverty alleviation hit rssurjewala via,negative,0.478,0.522,0.0,-0.7506
india working poor amp poverty alleviation hit daveakash via,negative,0.478,0.522,0.0,-0.7506
dear login net banking transfer money mobile app say allowed wtf worse demonetisation,negative,0.354,0.513,0.133,-0.6486
india working poor amp poverty alleviation hit infi_abhishek via,negative,0.478,0.522,0.0,-0.7506
india working poor amp poverty alleviation hit incindia via,negative,0.478,0.522,0.0,-0.7506
idiot opposition standing road demonetisation country,negative,0.398,0.602,0.0,-0.5106
india working poor amp poverty alleviation hit incindia via,negative,0.478,0.522,0.0,-0.7506
demonetisation broken back terrorist statement minister,negative,0.661,0.339,0.0,-0.8316
sad every small big businessman hometown affected post demonetisation,negative,0.402,0.598,0.0,-0.5719
congis call even demonetisation disaster economy chugging along keep smelling hot coffee watch nose get burnt,negative,0.215,0.785,0.0,-0.6249
pain terrorist party member khangressi demonetisation understandable,negative,0.544,0.272,0.184,-0.743
claim surgical strike demonetisation situation started improving god know telling truth,positive,0.096,0.446,0.459,0.6908
going lose gdp due demonetisation r famed economist mm according must die long run,negative,0.375,0.625,0.0,-0.765
india working poor amp poverty alleviation hit incindia via,negative,0.478,0.522,0.0,-0.7506
something still rotten bank pune kondhwa area bank atm devoid cash long demonetisation,negative,0.216,0.784,0.0,-0.5106
think demonetisation biggest scam ever bjp khajana election modiweakestpmever,negative,0.316,0.684,0.0,-0.5719
india working poor amp poverty alleviation hit demonetisation disbursal default,negative,0.444,0.556,0.0,-0.7506
guy please understand demonetisation black money naxalism terrorism india fake news modiweakestpmever,negative,0.405,0.474,0.121,-0.7506
gift exchng chest thumpin amp celebration surgicalstrike demonetisation break bone pak terrorist hav fallen flat modiweakestpmever,negative,0.312,0.563,0.126,-0.6486
crisis demonetisation arunjaitley full video,negative,0.506,0.494,0.0,-0.6249
rahul wonder rahul wasting word demonetisation like pc congis gone short new theme sad,negative,0.301,0.57,0.13,-0.5106
aap congress taken failure step demonetisation kept hiding telling india got medium wud hv startd killing,negative,0.432,0.568,0.0,-0.872
lynching new indian hobby kashmir boiling demonetisation killed n still r clueless abt benefit change,negative,0.35,0.5,0.15,-0.6124
lava micromax n others hv cut work force tune owing weak demand due demonetisation ur take,negative,0.351,0.649,0.0,-0.6705
gurumurthy explains brilliantly demonetisation defattened indian economy need done,positive,0.0,0.667,0.333,0.6124
fascist feku bjp govt centre amp maharashtra corruption ended dubious demonetisation amp corrupt became saint,negative,0.319,0.681,0.0,-0.7269
yes modi surgicalstrike amp demonetisation yes took decision previous pm dare still modiweakestpmever,positive,0.0,0.671,0.329,0.6597
india working poor amp poverty alleviation hit incindia via,negative,0.478,0.522,0.0,-0.7506
india working poor amp poverty alleviation hit khushsundar via,negative,0.478,0.522,0.0,-0.7506
problem modi tried deal failed failed surgical strike failed demonetisation,negative,0.738,0.262,0.0,-0.9201
bank loot jammu kashmir show badly terrorist affected demonetisation,negative,0.61,0.39,0.0,-0.8555
right hand know left hand answer,positive,0.0,0.385,0.615,0.7506
bharat finance crash posting loss crashed demonetisation panic,negative,0.624,0.376,0.0,-0.8074
great way saying harness resource idea left previous government aadhaar demonetisation gst,positive,0.0,0.728,0.272,0.6249
demonetisation forced u claim rid problem naxal kasmir etc innocent died queue lie lie,negative,0.449,0.435,0.116,-0.7845
india working poor amp poverty alleviation hit demonetisation disbursal default,negative,0.444,0.556,0.0,-0.7506
wrong policy creating unemployment india demonetisation already added ur policy worst tl,negative,0.498,0.394,0.108,-0.836
benefit demonetisation terrorist r active economy dwn price hike surgical strike many jawan killed border n kashmir,negative,0.405,0.379,0.216,-0.7184
like demonetisation drive end cause drive absolutely null whereas pm take lot pride propagating scheme sir first,positive,0.0,0.754,0.246,0.5994
mostly demonetisation due black money scam done gandhi family congressi,negative,0.291,0.709,0.0,-0.5719
india supported modi demonetisation india support modi action pakistan,positive,0.0,0.583,0.417,0.6124
price raising govt donot take step recover corruption money failed demonetisation,negative,0.248,0.752,0.0,-0.5106
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
india working poor amp poverty alleviation hit demonetisation disbursal default,negative,0.444,0.556,0.0,-0.7506
comment view economist doctor maunmohan parroted master voice predicting doomsday economy post demonetisation,negative,0.241,0.759,0.0,-0.5859
high auto sale number say impact demonetisation recall doomsday sayers amp replay word,negative,0.236,0.683,0.081,-0.5423
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
economy tanked demonetisation spectacularly failed foreign policy mess highest soldier lost wonder modi need rig election,negative,0.444,0.556,0.0,-0.8225
india going digital swiftly going digital safely infosec cybersecurity digitalpayments,positive,0.0,0.597,0.403,0.6597
uk minister priti patel praise narendra modi demonetisation economic time,positive,0.0,0.714,0.286,0.5574
sir pl update ur effort next speech population control inflamation kashmir demonetisation job created nation security,positive,0.0,0.761,0.239,0.5267
conduct lavish rally demonetisation update middle class honest indian,positive,0.0,0.708,0.292,0.5106
pm must constitute committee investigate terrorism exists even surgicalstrike amp demonetisation naxalism b included,negative,0.277,0.723,0.0,-0.6808
demonetisation failed,negative,0.767,0.233,0.0,-0.5106
must paid handle demonetisation quality aap sm gone bad drastically,negative,0.28,0.72,0.0,-0.5423
sir declare war amp smash citizen bharat ur govt amp already shown demonetisation say namo,negative,0.218,0.782,0.0,-0.5994
anybody buy logic like demonetisation help fight terrorism bjp th pas ppl always talk nonsense,negative,0.394,0.398,0.207,-0.6908
kejriwal jo demont jese scam se bach gaye nahi toh rilmoney se hi transiction kar rahe hote demonetisation sirf ril ke liya kiya gaya ta,negative,0.134,0.866,0.0,-0.5719
sad event still ask moron said question demonetisation stop terrorism,negative,0.686,0.314,0.0,-0.9201
par bhai uske baad v kitne terrorist attack ho chuke even demonetisation,negative,0.464,0.536,0.0,-0.8316
robbery j amp k mean fund crunch terror ops due demonetisation cross border trade probe badamgiri,negative,0.207,0.793,0.0,-0.5267
finally atth atm could withdraw cash felt like going back demonetisation holiday atm holiday ndtvnews toi,positive,0.0,0.622,0.378,0.7845
kindly share ach year term job created inflation got woman security bill ach demonetisation pl share,positive,0.0,0.478,0.522,0.875
economist history st book kind site cannot party china demonetise like modi,positive,0.132,0.525,0.344,0.5635
demonetisation hit hardly even bank safe still blind local consider hero,positive,0.159,0.472,0.368,0.5478
demonetisation major blunder disaster,negative,0.577,0.423,0.0,-0.6249
yes agree demonetisation expected lot ultimately communalism top,positive,0.0,0.417,0.583,0.7184
thought broke back surgical strike topped demonetisation still reacting,negative,0.381,0.619,0.0,-0.5106
aftr demonetisation r desperate fund ergo attack j amp k govt refuse give extra security bnks despite repeated attack ala,negative,0.426,0.478,0.096,-0.8074
demonetisation one aim break backbone terrorist baboon,negative,0.439,0.561,0.0,-0.6908
demonetisation big scam amp disaster modi harassed common people amp killed people,negative,0.664,0.336,0.0,-0.9501
impact demonetisation diminished ficci survey though oxbridgian economist ex pm amp congress leader forecasted die,negative,0.218,0.782,0.0,-0.5994
resharing whatsapp message created bjp team circulated innocent bhakts november demonetisation,positive,0.0,0.672,0.328,0.5267
demonetisation unseason limited release lo remake tho cr share cr gross chasina without promotion top lo ledu fake star top,negative,0.411,0.509,0.08,-0.7955
attack show desperation cash n effect demonetisation,negative,0.604,0.396,0.0,-0.7269
saying since demonetisation jihadis lost money carrying bank robbery finance terror must secure,negative,0.315,0.552,0.133,-0.5106
terrorisists r roaming free stone pelter r back naxals striking pak back crooked way tym demonetisation guy,positive,0.0,0.809,0.191,0.5106
jetli jhoothabajji demonetisation stopped pak attack jhooth,negative,0.5,0.5,0.0,-0.6124
demonetisation stopped attack stop jhoothabajji maybe double jhootha,negative,0.59,0.41,0.0,-0.7351
matter fact propose demonetisation bi monthly exercise favour kindly say aye,positive,0.0,0.526,0.474,0.7351
kashmir stone pelting full month think great success time another round demonetisation n,positive,0.0,0.562,0.438,0.8316
let checklist thing demonetisation achieved fake note gone full day naxal terror finished full month n,negative,0.333,0.667,0.0,-0.7579
terrorist kill cop bank official target cash van kashmir kulgam district demonetisation change terrorism,negative,0.56,0.44,0.0,-0.9432
india demonetisation stop corruption stop production forged note stop naxal n pak terrorist killing done blackwhite,negative,0.611,0.389,0.0,-0.9403
india nationalised bank imposed uncomfortable regulation failed demonetisation reflects wavering mind pm fm n rib governor,negative,0.444,0.556,0.0,-0.7783
govt one demonetisation earlier one stop pelter stop cross border terrorism still going,negative,0.474,0.526,0.0,-0.8402
correlate demonetisation state rbi bank official r involved converting old note illegally also seems scam,negative,0.222,0.778,0.0,-0.5719
nice joke reality demonetisation v heard lot impossible joke,positive,0.0,0.41,0.59,0.7351
minute silence pundit predicted demand destruction auto sector post demonetisation,negative,0.394,0.606,0.0,-0.6369
meet human india currency ban edition via humanity reallife sayhello,negative,0.286,0.714,0.0,-0.5574
seriously call another demonetisation cash whether black white root problem rip cop amp guard kadininda,negative,0.253,0.747,0.0,-0.5267
actual news fallout demonetisation mob violence especially cow terrorism drought farmer suicide,negative,0.6,0.4,0.0,-0.938
becomes simple terrorist government relax minimizing effect demonetisation effect terror,negative,0.45,0.389,0.161,-0.7351
demonetisation islamic terrorist looted r lakh bank amp killed policeman amp bank official shameless thief,negative,0.6,0.4,0.0,-0.9432
happy win fake demonetisation fake promise state election win lost hope namo huge hope lost sad,positive,0.351,0.101,0.548,0.8316
hawala india oldest black money network changed gear beat note ban,negative,0.265,0.735,0.0,-0.5574
demonetisation reduced dreaded evil corruption reduced inflow fake money printed pakistani brother,negative,0.554,0.446,0.0,-0.9042
demonetisation defeated naxals amp surgicalstrike ended terrorism another modi masterstroke taking country ahead newindia,negative,0.391,0.609,0.0,-0.8271
swachh bharat government declares war black money gamble pay,negative,0.431,0.569,0.0,-0.6486
dearth big talk btw demonetisation supposed stopped thing,negative,0.464,0.536,0.0,-0.6369
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
knew rbi best intrests hard working citizen mind wasstanding hour atm queue,positive,0.09,0.641,0.269,0.5859
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
omg pappu attacking pm modi demonetisation many defeat learnt lesson yet,negative,0.4,0.6,0.0,-0.7184
kattappa killed bhahubali even suspense got revealed till demonetisation suspense revealed modi hide fact,negative,0.341,0.659,0.0,-0.7351
badly executed good idea also disastrous demonetisation,negative,0.504,0.288,0.209,-0.6249
kejriwal anti modi bjp anti demonetisation pro jnu power hungry luxury,negative,0.338,0.662,0.0,-0.5574
obviously noone would fool keep old note unless confident deal banker somehow adjust new kudos demonetisation,positive,0.129,0.58,0.29,0.5574
mm puppet hand sg asked pm many power modi launched demonetisation even know duty pm,positive,0.0,0.734,0.266,0.5719
